,query_length_keywords_only,planningTimeMicros,$,$ne,label
0,12,83.0,False,False,False
1,12,83.0,False,False,False
2,17,71.0,True,False,True
3,17,71.0,True,False,True
4,13,42.0,True,True,True
5,13,42.0,True,True,True
6,13,46.0,True,False,True
7,13,46.0,True,False,True
8,15,83.0,True,True,True
9,15,83.0,True,True,True
10,13,45.0,False,False,True
11,13,45.0,False,False,True
12,8,61.0,False,False,False
13,8,61.0,False,False,False
14,15,128.0,True,False,False
15,15,128.0,True,False,False
16,15,128.0,True,False,True
17,11,41.0,True,True,False
18,11,41.0,True,True,False
19,11,30.0,True,False,False
20,11,30.0,True,False,False
21,8,28.0,False,False,False
22,8,28.0,False,False,False
23,8,28.0,False,False,False
24,4,62.0,False,False,False
25,4,62.0,False,False,False
26,15,47.0,True,False,False
27,15,47.0,True,False,False
28,30,53.0,True,False,False
29,30,53.0,True,False,False
30,2,29.0,False,False,False
31,2,29.0,False,False,False
32,8,30.0,False,False,False
33,8,30.0,False,False,False
34,18,48.0,False,False,False
35,18,48.0,False,False,False
36,12,57.0,False,False,False
37,12,57.0,False,False,False
38,17,46.0,True,False,True
39,17,46.0,True,False,True
40,13,27.0,True,True,True
41,13,27.0,True,True,True
42,13,29.0,True,False,True
43,13,29.0,True,False,True
44,15,33.0,True,True,True
45,15,33.0,True,True,True
46,13,56.0,False,False,True
47,13,56.0,False,False,True
48,8,51.0,False,False,False
49,8,51.0,False,False,False
50,15,52.0,True,False,False
51,15,52.0,True,False,False
52,15,52.0,True,False,True
53,11,34.0,True,True,False
54,11,34.0,True,True,False
55,11,65.0,True,False,False
56,11,65.0,True,False,False
57,8,63.0,False,False,False
58,8,63.0,False,False,False
59,8,63.0,False,False,False
60,2,69.0,False,False,False
61,2,69.0,False,False,False
62,4,56.0,False,False,False
63,4,56.0,False,False,False
64,15,39.0,True,False,False
65,15,39.0,True,False,False
66,30,47.0,True,False,False
67,30,47.0,True,False,False
68,2,28.0,False,False,False
69,2,28.0,False,False,False
70,8,34.0,False,False,False
71,8,34.0,False,False,False
72,18,53.0,False,False,False
73,18,53.0,False,False,False
74,10,65.0,False,False,False
75,10,60.0,False,False,False
76,8,63.0,False,False,False
77,8,63.0,False,False,True
78,16,59.0,False,False,False
79,14,36.0,True,False,False
80,10,56.0,False,False,False
81,10,67.0,False,False,False
