filter_str,denamed,queryLength,whereDetected,regexDetected,logicOperator,MathOperator,Size,thisPointer,matcherOption,cpuNanos,planningTimeMicros,label
"{'user': '{}', 'password': '{}'}","{'': '{}', '': '{}'}",32,0,0,0,0,0,0,0,176371,83.0,0.0
"{'user': '{}', 'password': '{}'}","{'': '{}', '': '{}'}",32,0,0,0,0,0,0,0,176371,83.0,0.0
{'username': {'$regex': '^{}'}},{'': {'$regex': ''}},31,0,1,0,0,0,0,0,112781,71.0,1.0
{'username': {'$regex': '^{}'}},{'': {'$regex': ''}},31,0,1,0,0,0,0,0,112781,71.0,1.0
{'username': {'$ne': '{}'}},{'': {'$ne': '{}'}},27,0,0,1,0,0,0,0,71093,42.0,1.0
{'username': {'$ne': '{}'}},{'': {'$ne': '{}'}},27,0,0,1,0,0,0,0,71093,42.0,1.0
{'username': {'$gt': '{}'}},{'': {'$gt': '{}'}},27,0,0,1,0,0,0,0,81173,46.0,1.0
{'username': {'$gt': '{}'}},{'': {'$gt': '{}'}},27,0,0,1,0,0,0,0,81173,46.0,1.0
"{'user': 'hacker', 'password': {'$ne': ''}}","{'': '', '': {'$ne': ''}}",43,0,0,1,0,0,0,0,141175,83.0,1.0
"{'user': 'hacker', 'password': {'$ne': ''}}","{'': '', '': {'$ne': ''}}",43,0,0,1,0,0,0,0,141175,83.0,1.0
"{'user': 'hacker', 'password': {'&ne': ''}}","{'': '', '': {'': ''}}",43,0,0,0,0,0,0,0,82224,45.0,1.0
"{'user': 'hacker', 'password': {'&ne': ''}}","{'': '', '': {'': ''}}",43,0,0,0,0,0,0,0,82224,45.0,1.0
"{'user': 'alice', 'password': '123456'}","{'': '', '': ''}",39,0,0,0,0,0,0,0,110357,61.0,0.0
"{'user': 'alice', 'password': '123456'}","{'': '', '': ''}",39,0,0,0,0,0,0,0,110357,61.0,0.0
{'username': {'$regex': '^test'}},{'': {'$regex': ''}},33,0,1,0,0,0,0,0,177794,128.0,0.0
{'username': {'$regex': '^test'}},{'': {'$regex': ''}},33,0,1,0,0,0,0,0,177794,128.0,0.0
{'username': {'$regex': '^test'}},{'': {'$regex': ''}},33,0,1,0,0,0,0,0,177794,128.0,1.0
{'username': {'$ne': 'testuser'}},{'': {'$ne': ''}},33,0,0,1,0,0,0,0,69260,41.0,0.0
{'username': {'$ne': 'testuser'}},{'': {'$ne': ''}},33,0,0,1,0,0,0,0,69260,41.0,0.0
{'username': {'$gt': 'guest'}},{'': {'$gt': ''}},30,0,0,1,0,0,0,0,54802,30.0,0.0
{'username': {'$gt': 'guest'}},{'': {'$gt': ''}},30,0,0,1,0,0,0,0,54802,30.0,0.0
"{'user': 'john', 'password': 'qwerty'}","{'': '', '': ''}",38,0,0,0,0,0,0,0,52048,28.0,0.0
"{'user': 'john', 'password': 'qwerty'}","{'': '', '': ''}",38,0,0,0,0,0,0,0,52048,28.0,0.0
"{'user': 'john', 'password': 'qwerty'}","{'': '', '': ''}",38,0,0,0,0,0,0,0,52048,28.0,0.0
{'category': 'electronics'},{'': ''},27,0,0,0,0,0,0,0,99076,62.0,0.0
{'category': 'electronics'},{'': ''},27,0,0,0,0,0,0,0,99076,62.0,0.0
"{'category': 'electronics', 'price': {'$gt': 200}}","{'': '', '': {'$gt': 'name'}}",50,0,0,1,0,0,0,0,81032,47.0,0.0
"{'category': 'electronics', 'price': {'$gt': 200}}","{'': '', '': {'$gt': 'name'}}",50,0,0,1,0,0,0,0,81032,47.0,0.0
"{'category': 'electronics', 'price': {'$gt': 200}, 'name': {'$regex': '^S'}}","{'': '', '': {'$gt': 'name'}, '': {'$regex': ''}}",76,0,1,1,0,0,0,0,82175,53.0,0.0
"{'category': 'electronics', 'price': {'$gt': 200}, 'name': {'$regex': '^S'}}","{'': '', '': {'$gt': 'name'}, '': {'$regex': ''}}",76,0,1,1,0,0,0,0,82175,53.0,0.0
{},{},2,0,0,0,0,0,0,0,56856,29.0,0.0
{},{},2,0,0,0,0,0,0,0,56856,29.0,0.0
{'selector': {'department': 'engineering'}},{'': {'': ''}},43,0,0,0,0,0,0,0,58370,30.0,0.0
{'selector': {'department': 'engineering'}},{'': {'': ''}},43,0,0,0,0,0,0,0,58370,30.0,0.0
"{'_id': '001', 'name': 'John Doe', 'department': 'HR', 'salary': 50000}","{'': '', '': '', '': '', '': 'name'}",71,0,0,0,0,0,0,0,84749,48.0,0.0
"{'_id': '001', 'name': 'John Doe', 'department': 'HR', 'salary': 50000}","{'': '', '': '', '': '', '': 'name'}",71,0,0,0,0,0,0,0,84749,48.0,0.0
