Metric,Model1,Model2,T-statistic,p-value,Significant (1%)
Accuracy,Linear SVM,Poly SVM,-1.0327966364565713e-15,0.9999999999999992,False
Accuracy,Linear SVM,RBF SVM,-1.3912166872805058,0.22288933713688314,False
Accuracy,Linear SVM,Logistic Regression,0.27735009811261363,0.7926128706672526,False
Accuracy,Linear SVM,Random Forest,-0.971625413446945,0.3758615186635822,False
Accuracy,Linear SVM,Gradient Boosting,-1.691920630481032,0.1514460269432964,False
Accuracy,Linear SVM,KNN,0.459121530862123,0.6654161616098261,False
Accuracy,Linear SVM,Decsion Tree,-0.8991013477539311,0.40980622960743546,False
Accuracy,Linear SVM,Bagging,-0.9715131257528857,0.37591226226396757,False
Accuracy,Linear SVM,Adaboost,-1.1656310103003928,0.2963393158104953,False
Accuracy,Linear SVM,Sigmoid SVM,0.5963118382339868,0.57693604766829,False
Accuracy,Linear SVM,Navie Bayse,-0.09002070714423971,0.9317656294034957,False
Accuracy,Poly SVM,RBF SVM,-1.9364916731037076,0.11056669073123566,False
Accuracy,Poly SVM,Logistic Regression,0.4152273992687003,0.6951922959317107,False
Accuracy,Poly SVM,Random Forest,-1.0476454436543674,0.3427798739990706,False
Accuracy,Poly SVM,Gradient Boosting,-1.8057877962865387,0.13077953820384697,False
Accuracy,Poly SVM,KNN,0.5583195306044413,0.6007027220701329,False
Accuracy,Poly SVM,Decsion Tree,-1.2179969144117246,0.2775605199635175,False
Accuracy,Poly SVM,Bagging,-1.1309596665849149,0.3093829752204211,False
Accuracy,Poly SVM,Adaboost,-1.024900077113484,0.3524131952019133,False
Accuracy,Poly SVM,Sigmoid SVM,0.8061435194835385,0.45677278587013953,False
Accuracy,Poly SVM,Navie Bayse,-0.09796391673838667,0.9257669109460199,False
Accuracy,RBF SVM,Logistic Regression,2.539166875385041,0.05194648484606855,False
Accuracy,RBF SVM,Random Forest,0.6201736729460408,0.5623122704704928,False
Accuracy,RBF SVM,Gradient Boosting,-0.4879500364742674,0.6462287559260278,False
Accuracy,RBF SVM,KNN,1.843908891458576,0.1245201096982188,False
