Model,Accuracy,Precision,Recall,F1
Linear SVM,0.5111111111111111,0.4583333333333333,0.55,0.5
Poly SVM,0.4666666666666667,0.4166666666666667,0.5,0.45454545454545453
RBF SVM,0.5777777777777777,0.5263157894736842,0.5,0.5128205128205129
Logistic Regression,0.5333333333333333,0.47619047619047616,0.5,0.4878048780487805
Random Forest,0.6444444444444445,0.625,0.5,0.5555555555555556
Gradient Boosting,0.6666666666666666,0.6470588235294118,0.55,0.5945945945945946
KNN,0.5555555555555556,0.5,0.35,0.4117647058823529
Decsion Tree,0.6222222222222222,0.6,0.45,0.5142857142857143
Bagging,0.6666666666666666,0.631578947368421,0.6,0.6153846153846154
Adaboost,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715
Sigmoid SVM,0.5777777777777777,0.5263157894736842,0.5,0.5128205128205129
Navie Bayse,0.6444444444444445,0.6428571428571429,0.45,0.5294117647058824
