Model,Accuracy,Precision,Recall,F1
Poly SVM,0.6444444444444445,0.6470588235294118,0.5238095238095238,0.5789473684210527
RBF SVM,0.6,0.5714285714285714,0.5714285714285714,0.5714285714285714
Sigmoid SVM,0.6444444444444445,0.6470588235294118,0.5238095238095238,0.5789473684210527
Logistic Regression,0.6,0.5714285714285714,0.5714285714285714,0.5714285714285714
Random Forest,0.6,0.5714285714285714,0.5714285714285714,0.5714285714285714
Gradient Boosting,0.6444444444444445,0.6470588235294118,0.5238095238095238,0.5789473684210527
KNN,0.6444444444444445,0.6470588235294118,0.5238095238095238,0.5789473684210527
Decsion Tree,0.6444444444444445,0.6470588235294118,0.5238095238095238,0.5789473684210527
Bagging,0.6444444444444445,0.6470588235294118,0.5238095238095238,0.5789473684210527
Adaboost,0.6,0.5714285714285714,0.5714285714285714,0.5714285714285714
Navie Bayse,0.6222222222222222,0.7,0.3333333333333333,0.45161290322580644
Linear SVM,0.5111111111111111,0.3333333333333333,0.047619047619047616,0.08333333333333333
