Model,Accuracy,Precision,Recall,F1
Poly SVM,0.6222222222222222,0.75,0.15789473684210525,0.2608695652173913
RBF SVM,0.6888888888888889,0.7272727272727273,0.42105263157894735,0.5333333333333333
Sigmoid SVM,0.5111111111111111,0.42857142857142855,0.47368421052631576,0.45
Logistic Regression,0.5777777777777777,0.5,0.5263157894736842,0.5128205128205129
Random Forest,0.6444444444444445,0.5789473684210527,0.5789473684210527,0.5789473684210527
Gradient Boosting,0.6444444444444445,0.5882352941176471,0.5263157894736842,0.5555555555555555
KNN,0.5777777777777777,0.5,0.42105263157894735,0.45714285714285713
Decsion Tree,0.6666666666666666,0.6111111111111112,0.5789473684210527,0.5945945945945946
Bagging,0.6666666666666666,0.6111111111111112,0.5789473684210527,0.5945945945945946
Adaboost,0.6444444444444445,0.5714285714285714,0.631578947368421,0.6
Navie Bayse,0.6,0.5714285714285714,0.21052631578947367,0.3076923076923077
Linear SVM,0.6,0.4375,0.4375,0.4375
