Model,Accuracy,Precision,Recall,F1
Linear SVM,0.7555555555555555,0.8,0.6956521739130435,0.7441860465116279
Poly SVM,0.7555555555555555,1.0,0.5217391304347826,0.6857142857142856
RBF SVM,0.8,0.8888888888888888,0.6956521739130435,0.7804878048780488
Sigmoid SVM,0.7333333333333333,0.7037037037037037,0.8260869565217391,0.76
Logistic Regression,0.7777777777777778,0.782608695652174,0.782608695652174,0.782608695652174
Random Forest,0.7777777777777778,0.8823529411764706,0.6521739130434783,0.75
Gradient Boosting,0.7777777777777778,0.8823529411764706,0.6521739130434783,0.75
KNN,0.7111111111111111,0.7272727272727273,0.6956521739130435,0.711111111111111
Decsion Tree,0.8222222222222222,0.8260869565217391,0.8260869565217391,0.8260869565217391
Bagging,0.7777777777777778,0.8823529411764706,0.6521739130434783,0.75
Adaboost,0.7777777777777778,0.8823529411764706,0.6521739130434783,0.75
Navie Bayse,0.7777777777777778,0.7407407407407407,0.8695652173913043,0.7999999999999999
