,Frequency
user,171
{},18
password,145
username,44
$regex,37
^{},4
$ne,30
$gt,27
hacker,19
&ne,4
alice,4
123456,12
^test,10
testuser,10
guest,24
john,11
qwerty,9
category,12
electronics,12
price,8
name,28
^S,4
selector,4
department,8
engineering,4
_id,4
001,4
John Doe,5
HR,4
salary,4
pass,6
admin,42
$username,1
$password,1
id,1
value,1
John,1
age,5
$where,4
this.age >= {},1
test,31
type,8
roles,8
_admin,1
.*{}.*,1
$nin,1
$in,18
root,12
^{}$,4
$options,5
i,5
$mod,1
this.password.length > 10,1
$size,12
this.age <= {},1
$type,6
this.password.length <= 5,1
Alice,1
{}|admin,1
password123,4
testuser123,1
Bob,1
$elemMatch,4
$eq,8
{}.*admin.*,1
administrator,2
admin123,2
testuser2023,1
pass123,1
Jane,1
password2023,2
secure123,1
malicious1,1
malicious1password,1
^malicious2,1
test{},4
^(malicious3|malicious4)\\d+,1
malicious5,1
^malicious6,1
malicious9,1
malicious9password,1
malicious10,1
malicious10password,1
benign28,1
benign1,1
benign1password,1
^benign2,1
benign3,1
^(benign4|benign5)\\d+,1
benign6,1
^benign7,1
benign10,1
benign10password,1
benign11,1
benign11password,1
malicious11,1
malicious11password,1
^malicious12,1
test123{},1
malicious13,1
^(malicious14|malicious15)\\d+,1
malicious16,1
^malicious17,1
malicious20,1
malicious20password,1
malicious21,1
malicious21password,1
benign12,1
benign12password,1
^benign13,1
test456{},1
benign14,1
^(benign15|benign16)\\d+,1
benign17,1
^benign18,1
benign21,1
benign21password,1
benign22,1
benign22password,1
maliciouspassword,9
malicious26,1
malicious27,1
benignpassword,13
benign26,1
Superuser,1
12345678,1
malicious34,1
malicious35,1
malicious36,1
malicious37,1
benign34,1
benign35,1
benign36,1
Admin123,1
