,Frequency
username,26
$regex,21
^{},4
$ne,21
{},8
$gt,10
user,73
hacker,17
password,75
&ne,4
^test,4
admin,32
$where,4
this.age >= {},1
test,18
testuser,4
pass,4
guest,10
type,1
name,7
roles,1
_admin,1
123456,6
.*{}.*,1
$nin,1
$in,11
root,11
^{}$,4
$options,5
i,5
$mod,1
this.password.length > 10,1
$size,7
this.age <= {},1
$type,5
this.password.length <= 5,1
{}|admin,1
password123,2
testuser123,1
$elemMatch,4
$eq,6
{}.*admin.*,1
administrator,2
admin123,2
testuser2023,1
malicious1,1
malicious1password,1
^malicious2,1
test{},2
^(malicious3|malicious4)\\d+,1
malicious5,1
^malicious6,1
malicious9,1
malicious9password,1
malicious10,1
malicious10password,1
malicious11,1
malicious11password,1
^malicious12,1
test123{},1
malicious13,1
^(malicious14|malicious15)\\d+,1
malicious16,1
^malicious17,1
malicious20,1
malicious20password,1
malicious21,1
malicious21password,1
maliciouspassword,9
malicious26,1
malicious27,1
12345678,1
malicious34,1
malicious35,1
malicious36,1
malicious37,1
